#Phi Flux
-3.141593 4.037759e-05
-3.015929 4.035859e-05
-2.953097 4.046988e-05
-2.890265 4.05071e-05
-2.827433 4.024672e-05
-2.764602 4.033922e-05
-2.70177 3.996739e-05
-2.638938 3.950238e-05
-2.576106 3.924184e-05
-2.513274 3.857245e-05
-2.450442 3.807055e-05
-2.38761 3.75871e-05
-2.324779 3.693644e-05
-2.261947 3.619258e-05
-2.199115 3.526301e-05
-2.136283 3.461254e-05
-2.073451 3.370153e-05
-2.010619 3.25859e-05
-1.947787 3.163798e-05
-1.884956 3.072683e-05
-1.822124 2.981607e-05
-1.759292 2.840321e-05
-1.69646 2.719495e-05
-1.633628 2.607972e-05
-1.570796 2.500149e-05
-1.507964 2.379316e-05
-1.445133 2.239916e-05
-1.382301 2.115353e-05
-1.319469 2.000089e-05
-1.256637 1.877403e-05
-1.193805 1.771444e-05
-1.130973 1.652461e-05
-1.068142 1.533494e-05
-1.00531 1.447982e-05
-0.9424778 1.345734e-05
-0.8796459 1.22119e-05
-0.8168141 1.130102e-05
-0.7539822 1.039018e-05
-0.6911504 9.386418e-06
-0.6283185 8.605671e-06
-0.5654867 7.713461e-06
-0.5026548 6.951407e-06
-0.439823 6.133535e-06
-0.3769911 5.427209e-06
-0.3141593 4.572214e-06
-0.2513274 4.070347e-06
-0.1884956 3.475588e-06
-0.1256637 3.122436e-06
-0.06283185 2.50909e-06
4.440892e-16 2.155954e-06
0.06283185 2.100195e-06
0.1256637 1.932926e-06
0.1884956 2.025864e-06
0.2513274 2.155987e-06
0.3141593 2.490538e-06
0.3769911 2.992384e-06
0.439823 3.364121e-06
0.5026548 3.661548e-06
0.5654867 4.293486e-06
0.6283185 4.832549e-06
0.6911504 5.520297e-06
0.7539822 6.33815e-06
0.8168141 7.137431e-06
0.8796459 7.620728e-06
0.9424778 8.420053e-06
1.00531 9.25652e-06
1.068142 1.014882e-05
1.130973 1.081803e-05
1.193805 1.19333e-05
1.256637 1.275132e-05
1.319469 1.382941e-05
1.382301 1.466594e-05
1.445133 1.594863e-05
1.507964 1.697102e-05
1.570796 1.790041e-05
1.633628 1.918313e-05
1.69646 2.033551e-05
1.759292 2.1581e-05
1.822124 2.271506e-05
1.884956 2.420212e-05
1.947787 2.533602e-05
2.010619 2.641427e-05
2.073451 2.767809e-05
2.136283 2.87937e-05
2.199115 2.985335e-05
2.261947 3.100604e-05
2.324779 3.184254e-05
2.38761 3.290233e-05
2.450442 3.388755e-05
2.513274 3.470578e-05
2.576106 3.559804e-05
2.638938 3.63606e-05
2.70177 3.717862e-05
2.764602 3.784835e-05
2.827433 3.836856e-05
2.890265 3.877808e-05
2.953097 3.937291e-05
3.015929 3.968944e-05
3.078761 3.972669e-05
3.141593 4.037761e-05
3.1415923071795864 4.037759e-05
3.2672563071795864 4.035859e-05
3.330088307179586 4.046988e-05
3.3929203071795864 4.05071e-05
3.455752307179586 4.024672e-05
3.5185833071795862 4.033922e-05
3.5814153071795864 3.996739e-05
3.6442473071795862 3.950238e-05
3.7070793071795864 3.924184e-05
3.7699113071795862 3.857245e-05
3.8327433071795864 3.807055e-05
3.895575307179586 3.75871e-05
3.9584063071795863 3.693644e-05
4.021238307179586 3.619258e-05
4.084070307179586 3.526301e-05
4.146902307179586 3.461254e-05
4.209734307179586 3.370153e-05
4.272566307179586 3.25859e-05
4.335398307179586 3.163798e-05
4.398229307179586 3.072683e-05
4.461061307179586 2.981607e-05
4.523893307179586 2.840321e-05
4.586725307179586 2.719495e-05
4.649557307179586 2.607972e-05
4.712389307179587 2.500149e-05
4.775221307179586 2.379316e-05
4.838052307179586 2.239916e-05
4.900884307179586 2.115353e-05
4.9637163071795865 2.000089e-05
5.026548307179587 1.877403e-05
5.089380307179586 1.771444e-05
5.152212307179586 1.652461e-05
5.215043307179586 1.533494e-05
5.2778753071795865 1.447982e-05
5.340707507179586 1.345734e-05
5.403539407179586 1.22119e-05
5.466371207179586 1.130102e-05
5.529203107179586 1.039018e-05
5.5920349071795865 9.386418e-06
5.6548668071795865 8.605671e-06
5.717698607179586 7.713461e-06
5.780530507179586 6.951407e-06
5.843362307179587 6.133535e-06
5.9061942071795865 5.427209e-06
5.969026007179586 4.572214e-06
6.031857907179586 4.070347e-06
6.094689707179586 3.475588e-06
6.157521607179587 3.122436e-06
6.220353457179586 2.50909e-06
6.283185307179586 2.155954e-06
6.3460171571795865 2.100195e-06
6.408849007179586 1.932926e-06
6.471680907179587 2.025864e-06
6.534512707179586 2.155987e-06
6.597344607179586 2.490538e-06
6.660176407179586 2.992384e-06
6.723008307179586 3.364121e-06
6.785840107179586 3.661548e-06
6.848672007179586 4.293486e-06
6.911503807179586 4.832549e-06
6.974335707179586 5.520297e-06
7.0371675071795865 6.33815e-06
7.099999407179586 7.137431e-06
7.162831207179586 7.620728e-06
7.225663107179586 8.420053e-06
7.288495307179586 9.25652e-06
7.351327307179586 1.014882e-05
7.414158307179586 1.081803e-05
7.4769903071795865 1.19333e-05
7.539822307179586 1.275132e-05
7.602654307179586 1.382941e-05
7.665486307179586 1.466594e-05
7.7283183071795865 1.594863e-05
7.7911493071795865 1.697102e-05
7.853981307179586 1.790041e-05
7.916813307179586 1.918313e-05
7.979645307179586 2.033551e-05
8.042477307179587 2.1581e-05
8.105309307179587 2.271506e-05
8.168141307179587 2.420212e-05
8.230972307179586 2.533602e-05
8.293804307179586 2.641427e-05
8.356636307179587 2.767809e-05
